               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.034038,            0.021339,           0.0054793,             0.77736,             0.60419,             0.67298,             0.41164,            0.030944,            0.015251,           0.0058932,           0.0037135,           0.0037135,           0.0037135
                 129,            0.034074,            0.021869,           0.0055342,             0.77728,             0.60434,             0.67248,             0.41196,            0.030918,            0.015243,           0.0059023,            0.003664,            0.003664,            0.003664
                 130,             0.03395,            0.021648,           0.0053815,             0.76605,             0.60574,             0.67106,             0.41079,            0.030906,             0.01523,           0.0058802,           0.0036145,           0.0036145,           0.0036145
                 131,            0.034157,            0.021622,           0.0054219,             0.77273,             0.60425,              0.6722,             0.41192,            0.030898,            0.015231,            0.005859,            0.003565,            0.003565,            0.003565
                 132,            0.033834,            0.021498,           0.0053168,             0.77101,             0.61224,             0.67343,              0.4114,            0.030893,             0.01522,           0.0058888,           0.0035155,           0.0035155,           0.0035155
                 133,            0.033711,            0.021373,           0.0054008,             0.76538,             0.61133,              0.6746,             0.41282,            0.030867,            0.015197,           0.0059144,            0.003466,            0.003466,            0.003466
                 134,            0.033872,            0.021497,           0.0051883,             0.76511,             0.60993,             0.67489,             0.41378,            0.030859,            0.015183,           0.0059035,           0.0034165,           0.0034165,           0.0034165
                 135,            0.033575,            0.021574,           0.0050458,             0.77858,             0.61055,             0.67554,             0.41367,            0.030835,            0.015178,            0.005901,            0.003367,            0.003367,            0.003367
                 136,            0.033767,            0.021872,           0.0052108,             0.77282,             0.61399,             0.67653,             0.41475,            0.030797,             0.01516,           0.0058676,           0.0033175,           0.0033175,           0.0033175
                 137,            0.033472,            0.021237,           0.0051072,             0.76893,             0.61736,             0.67751,             0.41577,            0.030765,            0.015154,           0.0058698,            0.003268,            0.003268,            0.003268
                 138,            0.033386,            0.021224,           0.0048757,             0.76626,             0.62045,             0.67955,             0.41675,            0.030749,            0.015143,           0.0058703,           0.0032185,           0.0032185,           0.0032185
                 139,            0.033507,            0.021298,           0.0051115,             0.77243,             0.61632,             0.67879,             0.41739,            0.030739,            0.015144,           0.0058756,            0.003169,            0.003169,            0.003169
